source_header,question,answer
Policy on marking and grading,"What is the policy on double-marking at the University of Nottingham, and how does it apply to different types of assessments?","At the University of Nottingham, double-marking is recognized as good practice for assessments where appropriate. This involves having two markers independently evaluate a student's work, ideally with the first mark hidden from the second marker (""blind"" double-marking). This practice is encouraged to ensure fairness, validity, and reliability in assessment. For apprenticeship programs, the marking criteria outlined in specific End-Point Assessment plans must also be followed. However, schools may have specific policies on when double-marking is necessary, and these should be outlined in the school's marking guidelines."
Policy on marking and grading,"Can postgraduates with teaching responsibilities act as internal examiners at the University of Nottingham, and what are the requirements for this role?","Yes, postgraduate students with teaching responsibilities can act as internal examiners at the University of Nottingham. However, there are specific requirements they must meet. They must be supervised by a named academic staff member and provided with appropriate training for their role in the assessment process. Assessments they conduct that contribute to the final module or program mark must be moderated by an academic staff member and are generally limited to elements that do not affect degree classification. For assessments that do not contribute to the final mark, second marking may occur on a sampling basis. These guidelines ensure that postgraduate examiners are well-supported and assessments remain fair and consistent."
Academic Appeals Code of Practice,Who is eligible to submit an academic appeal under the University of Nottingham's Academic Appeals Code of Practice?,"The Academic Appeals Code of Practice at the University of Nottingham is applicable to current fully registered students or those who were previously fully registered. It covers students on both taught and research courses at the UK campuses. However, students studying at the University of Nottingham's campuses in China or Malaysia should refer to the relevant local policies."
Academic Appeals Code of Practice,What are the grounds on which a student can appeal a decision made by an academic body at the University of Nottingham?,"A student can appeal a decision based on several grounds, including procedural irregularities that materially affected the decision, evidence of prejudice or bias, a decision that no reasonable person would find comprehensible, or if their performance was materially affected by circumstances that could not have been presented to the examination board initially."
Academic Appeals Code of Practice,What should a student do if they have new evidence to support their appeal after submitting the initial appeal form?,"If a student has new evidence that was not available at the time of submitting their initial appeal, they should submit it as soon as possible via email to academic-appeals@nottingham.ac.uk. They must explain why the evidence was not previously available and demonstrate its relevance to the appeal. The Investigations and Resolution team will determine if the new evidence can be accepted for consideration."
Student Complaints Code of Practice,What should a student do if they want to raise a complaint about misleading information in the university's promotional materials?,"If a student has a complaint about misleading information in the university's promotional materials, they should follow the Student Complaints Code of Practice. First, they should attempt an early resolution by raising the issue with the relevant department or staff member who can address the concern. If they are not satisfied with the outcome, they can escalate the complaint to level 2 by completing the level 2 complaint form, and then potentially to level 3 if necessary."
Student Complaints Code of Practice,"Can a student submit a complaint anonymously, and what are the implications of doing so?","Anonymous complaints are generally not considered unless there are exceptional reasons supported by evidence. The university believes that anonymity can hinder the investigation and communication of outcomes. Therefore, students are encouraged to attach their names to complaints to facilitate a thorough investigation."
Student Complaints Code of Practice,How long does the university's formal complaint process usually take from start to finish?,"The formal complaint process, beginning at level 2, is expected to be completed within 90 calendar days according to the OIA Good Practice Framework. This timeframe depends on students meeting deadlines and promptly providing any requested information. Any delays in providing information can extend the process, and students can request extensions by contacting the Investigations and Resolution team."
Policy on feedback to students,What is the policy regarding how feedback should be provided on coursework at the University of Nottingham?,"According to the policy, feedback on coursework should be given in a written format and can be supplemented with oral comments where appropriate. If coursework is submitted electronically, feedback must also be provided electronically, unless a staff member has a reasonable adjustment. The feedback should be aligned with the assessment criteria to help students identify areas for improvement and recognize their achievements."
Policy on feedback to students,Can students expect to get their marked coursework back before the university's exam periods?,"Yes, in normal circumstances, marked coursework and feedback should be returned to students before the main university examination periods. However, if necessary, coursework can be returned after the exam periods, potentially outside the normal time frames. Students should be informed of the expected timescale for the return of their coursework and feedback before submission."
Policy on feedback to students,"How are students informed of their exam marks, and what should they be aware of regarding the release of these marks?","Students are entitled to be informed of the marks awarded in their exams and assessments contributing to their degree. Schools/Departments must communicate how and when marks will be released. Marks for Autumn Semester exams are provisional until finalized by the Examinations Board, typically in June/July for undergraduates and in the autumn for postgraduates. Marks should not be published on noticeboards to protect confidentiality."
Periodic Assurance and Continuous Enhancement Review (PACER),What is the main purpose of the Periodic Assurance and Continuous Enhancement Review (PACER) at the University of Nottingham?,"The main purpose of PACER is to ensure that Schools and Departments provide a high-quality student experience that safeguards academic standards and delivers good outcomes for all students. It also aims to align programmes with the Office for Students (OfS) B Conditions and sector norms, support colleagues in their Education and Student Experience activities, and highlight areas for improvement to enhance the student learning experience."
Periodic Assurance and Continuous Enhancement Review (PACER),"Who is involved in the PACER Planning Board, and what is their role in the review process?","The PACER Planning Board consists of several key members, including the PVC for ESE (chair), APVC for Teaching and Curriculum Leadership, Director of Careers and Employability, Chair of Quality and Standards Committee, Associate Director of the Educational Excellence Team, representatives from UNM and UNNC, Head of Policy and Operations, Deputy Registrars, and a Curriculum Nottingham Representative. Their role is to review performance in key ESE indicators and recommend review panels tailored to the needs of each visit."
Periodic Assurance and Continuous Enhancement Review (PACER),"How does PACER assess the performance of teaching and learning activities, and what indicators are considered?","PACER assesses performance by reviewing key Education and Student Experience (ESE) indicators. These include student outcomes like continuation, completion, progression, attainment, and TEF-specific subject-level data, as well as student experience measures from the National Student Survey, SEM, and PTES. The process looks at longitudinal data rather than a single year's performance to determine if a review is necessary. The assessment is conducted by the PACER Planning Board before each academic session."
Regulation on conflict of interest,What is the main purpose of the University of Nottingham's conflict of interest regulation for End Point Assessments?,"The main purpose of the conflict of interest regulation is to ensure that End Point Assessments (EPAs) are conducted impartially, with a clear separation between those teaching the apprenticeship and those assessing it. This helps manage and mitigate any perceived or actual conflicts of interest that could compromise the assessment's integrity."
Regulation on conflict of interest,Can someone who was involved in delivering an apprenticeship program be appointed as an Independent Assessor for the same program?,"Generally, no. An individual who has been involved in delivering an apprenticeship program or its assessments cannot be appointed as an Independent Assessor for that program unless all the students they taught or assessed have completed their program. This helps prevent conflicts of interest and maintains the objectivity of the assessment."
Regulation on conflict of interest,What should an Independent Assessor do if they realize they have a conflict of interest after being appointed?,"If an Independent Assessor realizes a conflict of interest after being appointed, they must promptly declare it to the University. This allows the institution to manage the situation appropriately, ensuring the conflict does not affect the impartiality or integrity of the End Point Assessment process."
UNM Student Staff Fora,What is the primary purpose of the Student Staff Fora at the University of Nottingham Malaysia campus?,"The primary purpose of the Student Staff Fora (SSF) is to provide a platform for student feedback, ensuring that their concerns about courses are represented to academic staff throughout the year. It aims to capture student views for course and module reviews, facilitate the exchange of ideas between students and academic staff, and ultimately improve the curriculum."
UNM Student Staff Fora,"How often do Student Staff Fora meetings need to occur, and who is responsible for organizing them?","Student Staff Fora meetings must occur at least three times per academic cycle, with at least one meeting during the Autumn Semester. Course or school representatives are responsible for organizing these meetings, working with guidance from the Senior Tutor to prepare and finalize the meeting agenda."
UNM Student Staff Fora,"Are students able to contribute topics for discussion in the Student Staff Fora meetings, and how are these meetings documented?","Yes, students can contribute topics for discussion as there should be a simple mechanism for both staff and students to place items on the agenda. The meetings are documented by taking minutes, and these minutes, along with agendas and reports, are made available to all staff and students at the UNM central SSF repository, ensuring transparency and accessibility."
End-point assessment process,What is the purpose of the University of Nottingham's End Point Assessment process?,The purpose of the University of Nottingham's End Point Assessment (EPA) process is to outline the procedures and management strategies for conducting EPAs as part of both integrated and non-integrated Degree Apprenticeship Programmes. This ensures that the assessments are carried out effectively and in accordance with university standards.
End-point assessment process,Who should a University of Nottingham student contact if they have questions about the End Point Assessment process?,"If a University of Nottingham student has questions about the End Point Assessment process, they should reach out to the appropriate contact based on their campus location. UNUK students should contact Student Services, UNNC students should email Academic-Service-Office@nottingham.edu.cn, and UNM students should email student_registry@nottingham.edu.my."
End-point assessment process,When was the information about the University of Nottingham's End Point Assessment process last updated?,The information regarding the University of Nottingham's End Point Assessment process was last modified on 01 August 2024.
Disabled students,What is the purpose of the Disability Liaison Officer at the University of Nottingham?,"The Disability Liaison Officer (DLO) at the University of Nottingham serves as a key point of reference, advice, and guidance for staff and students concerning disability issues and support. Each School is expected to have a DLO who is involved in relevant School and/or Faculty committees, helps raise awareness about the Equality Act 2010, ensures inclusive policies, and coordinates with Disability Support Services to implement reasonable adjustments and support plans for disabled students."
Disabled students,Can you tell me about the legislation related to disabled students at the University of Nottingham's campuses?,"Certainly! The University of Nottingham adheres to several pieces of relevant legislation to support disabled students, including the Equality Act 2010 and the Public Sector Bodies Accessibility Regulations 2018 for the UK campus, the Persons with Disabilities Act Malaysia 2008 for the Malaysian campus, and the Law of the People’s Republic of China on the Protection of Disabled Persons 2018 for the China campus. These laws help ensure that the University's policies and facilities are inclusive and accessible to disabled students."
Disabled students,How can a student at the University of Nottingham get more information about disability support services available to them?,"Students at the University of Nottingham can access information about disability support services through various resources. For the UK campus, students can consult the UNUK Disability Support Services. Those at the Malaysia campus can reach out to UNM Disability Services, while students at the China campus can contact the UNNC Disability Support Service. Additionally, links to teaching timetable arrangements and examination arrangements for disabled students are available for further support."
Teaching timetable arrangements for disabled students,How can disabled students at the University of Nottingham request changes to their teaching timetable?,"Disabled students at the University of Nottingham should contact Disability Support Services to arrange an assessment. If a student encounters timetabling issues, school staff must refer them to Disability Support Services urgently, as scheduling becomes more constrained as the timetable builds. Once assessed, the Disability Support Services will liaise with the Timetabling Office to allocate or reallocate rooms based on the student's needs."
Teaching timetable arrangements for disabled students,What laws and regulations does the University of Nottingham adhere to in ensuring equal educational opportunities for disabled students across its campuses?,"The University of Nottingham adheres to several laws and regulations to ensure equal educational opportunities for disabled students. In the UK, the Equality Act 2010 covers access and facilities in teaching environments. The Persons with Disabilities Act Malaysia 2018 ensures equal access to education for students at the Malaysia campus, and the Law of the People’s Republic of China on the Protection of Disabled Persons 2018 does the same for the China campus. The university also follows the Quality Assurance Agency (QAA) Quality Code for Higher Education, which promotes an inclusive learning environment."
Teaching timetable arrangements for disabled students,Who should a member of staff contact if they have a question about the policy on teaching timetable arrangements for disabled students at the University of Nottingham?,"If a staff member has a question about the policy on teaching timetable arrangements for disabled students, they should contact Quality-Manual-Enquiries@nottingham.ac.uk for assistance. This contact is designated for handling staff inquiries related to the policy."
Examination arrangements for disabled students,What should a student at the University of Nottingham do if they need an extension on a coursework deadline due to a disability?,"Students who require an extension on a coursework deadline due to a disability must complete and submit the Coursework Extension Request Form (CERF). This form can be accessed via the 'Related Regulations, Policies and Procedures' section on the university’s website. Extensions are considered a reasonable adjustment and are usually recommended in the student's Disability Support Plan."
Examination arrangements for disabled students,How does the University of Nottingham ensure assessments are fair for disabled students?,"The University of Nottingham is committed to ensuring assessments are fair for disabled students by aligning with the Quality Assurance Agency's Quality Code for Higher Education. This includes providing alternative arrangements where necessary to minimize the impact of a student's condition on their performance. The university aims to maintain academic standards while offering accommodations such as different assessment options and deadline extensions, as detailed in students' Disability Support Plans."
Examination arrangements for disabled students,Who is responsible for implementing alternative examination arrangements for students at the University of Nottingham?,"At the University of Nottingham, Student Services are responsible for implementing alternative arrangements for centrally controlled examinations as outlined in the students' Disability Support Plans. For examinations organized independently by Schools or other forms of assessment, the Schools themselves are responsible for ensuring the appropriate accommodations are in place."
Regulations on the retention of students assessed work,"What types of student assessment materials does the University of Nottingham retain, and for how long?","The University retains a variety of assessment materials, including assessed work, assessment briefs, examination question papers, marking criteria, mark schemes, model answers, and submission deadlines. These records are retained for periods specified in the University's records retention schedule to ensure compliance with academic, statutory, and regulatory requirements."
Regulations on the retention of students assessed work,"If I submit my coursework online, how can I be sure it meets the University’s administrative requirements?","For online submissions, schools may consult the Learning Technologies team to ensure the submission method meets assessment and administrative requirements. If you have any specific concerns or queries about your submission, you can reach out to the Learning Technologies team via email at learning-technologies@nottingham.ac.uk."
Regulations on the retention of students assessed work,Who should I contact if I have questions about the retention of assessed work at the University of Nottingham's Malaysia campus?,"If you have questions about the retention of assessed work at the Malaysia campus, you can contact the student registry at student_registry@nottingham.edu.my. They should be able to assist you with any inquiries related to assessment retention policies."
Minimum expectations for levels of teaching and learning activity,What are the minimum scheduled teaching hours for an undergraduate student in the Foundation Stage of an Honours Degree at the University of Nottingham?,"For undergraduate students in the Foundation Stage of an Honours Degree at the University of Nottingham, the minimum number of scheduled learning hours per 10 credits is 22 hours. This is based on a typical programme comprising 120 credits per year and having 22 teaching weeks in the year."
Minimum expectations for levels of teaching and learning activity,"I'm a postgraduate student completing a full Master's qualification. How is my project supervision structured, and what happens if my supervisor becomes unavailable?","Every taught postgraduate student must be assigned a Master's project supervisor before starting substantive work on their project. If your assigned supervisor becomes unavailable due to unforeseen circumstances, such as illness, the School will allocate a replacement supervisor and notify you promptly. It's the student's responsibility to initiate any subsequent contacts after the initial introduction by the supervisor."
Minimum expectations for levels of teaching and learning activity,Who should I contact if I have questions about teaching and learning activities at the University of Nottingham's Malaysia campus?,"If you have questions about teaching and learning activities at the University of Nottingham's Malaysia campus, you should contact the student registry via email at student_registry@nottingham.edu.my."
Academic Guides,"What exactly are Academic Guides at the University of Nottingham, and how do they differ from personal tutors?","Academic Guides, part of the 'Here for You' initiative at the University of Nottingham, are staff members who support students throughout their studies across various campuses. Unlike personal tutors, Academic Guides work within an interdisciplinary team and focus on providing consistent support for students, including record-keeping of interactions and organizing group meetings. Their roles are distinct and involve specific responsibilities like overseeing student attendance and referring students to professional development opportunities."
Academic Guides,How does the university ensure that Academic Guides are prepared and equipped for their role?,"The University of Nottingham has a structured approach to preparing Academic Guides. They undergo a fair and transparent recruitment process that includes training in areas such as Safeguarding, GDPR compliance, and EDI principles. Additionally, Academic Guides are encouraged to participate in ongoing professional development related to student support and coaching methodologies. The School/Unit also ensures they are regularly updated on changes to university policies and support services."
Academic Guides,What are some of the measures in place for handling conflicts or complaints involving Academic Guides?,"The University of Nottingham has clear protocols for addressing any conflicts or complaints between students and Academic Guides. These include established channels for escalating and resolving issues within the School/Unit or at the University level. If needed, students can request a change of their Academic Guide, and this process is clearly communicated to them. The aim is to ensure transparency and effective resolution of any issues that may arise."
High Performance Athlete academic flexibility,How does the University of Nottingham support High Performance Athletes in managing their academic commitments alongside their sporting activities?,"The University of Nottingham offers academic flexibility for High Performance Athletes (HPAs) to help them balance their studies with their sporting commitments. This includes potential adjustments to personal timetables, exploring alternative assessment methods, and providing the opportunity to take exams overseas in exceptional circumstances. The Sports’ Scholarship and Recruitment Manager (SRM) identifies HPAs, and they are supported by HPA Tutors, who act as liaisons with course teams. Regular meetings with Performance Lifestyle Advisors (PLA) and HPA Tutors help athletes coordinate their schedules and ensure they receive necessary academic support."
High Performance Athlete academic flexibility,What should High Performance Athletes on a student visa be aware of regarding their academic and sporting commitments?,"High Performance Athletes on a student visa at the University of Nottingham must prioritize their academic studies and maintain regular attendance, as required by UK Visas and Immigration guidelines. They should be aware of the limitations on sporting activities imposed by their visa and ensure that their studies remain a priority. The University expects these students to engage consistently with their courses and consult the Visa and Immigration team for guidance if needed. Immigration policies take precedence over academic policies in cases of conflict."
High Performance Athlete academic flexibility,What steps should a High Performance Athlete take if they need to interrupt their studies due to major sporting events?,"If a High Performance Athlete needs to interrupt their studies for major sporting competitions, they can apply for a Voluntary Interruption of Studies (VIS) with the support of their HPA Tutor. This process is subject to regulations concerning maximum registration periods. The athlete must follow the usual application procedure for VIS and ensure that they communicate with their academic department and relevant university staff about their plans and any changes to their sporting commitments."
Regulations from September 2020,What happens if a student at the University of Nottingham fails a non-compensatable module in their final stage?,"If a student fails a non-compensatable module in their final stage, they will not complete that stage without successfully undertaking re-assessment in that module. Reassessment is necessary to gain the credits required to complete the stage."
Regulations from September 2020,Are there specific regulations for students enrolled in apprenticeship programs at the University of Nottingham?,"Yes, students undertaking apprenticeship programs at the University of Nottingham's UK campus are considered part-time students. The regulations in the Quality Manual apply to them unless stated otherwise. Additionally, the End-Point Assessment serves as a final credit-bearing module for integrated apprenticeship programs and is crucial for the apprenticeship award."
Regulations from September 2020,How does the University of Nottingham handle extenuating circumstances when calculating a student's final degree classification?,"If a student's final mark falls within a borderline, the Examiners apply the University's standardized algorithm to determine if the classification can be raised. For extenuating circumstances affecting up to 20 credits in the final stage, marks from affected modules may be excluded if they are anomalous, provided all non-compensatable modules are passed. Students may choose to attempt reassessments instead, but they will not graduate until completing them."
Regulations for students admitted from September 2021,What are the requirements for a student to qualify for a Master's degree at the University of Nottingham?,"To qualify for a Master's degree, a student must pursue an approved course of study as per the programme specification, pass the assessments specified in the regulations and relevant programme specification, and successfully complete any additional required components. Additionally, the work submitted must be primarily completed while the candidate is registered at the University."
Regulations for students admitted from September 2021,How does the University handle a situation where a Master's student fails one or more modules during the taught stage?,"If a student fails one or more modules during the taught stage, they can still be awarded the total credit for that stage if they have passed modules worth at least two-thirds of the credits, have a weighted average of at least 50%, and no module marks are below 40%. Marks below 40% for up to 20 credits can be compensated if the student has passed modules worth at least 80 credits and has a weighted average of at least 50%."
Regulations for students admitted from September 2021,What options does a student have if they wish to reassess a module they've already passed?,"Students are not allowed to be reassessed in modules or module elements they have already passed. However, if a student has failed a module, they have the right to one reassessment in each failed module, and they can request to repeat their enrolment in failed modules to attend classes and submit coursework before taking reassessments."
